Date,Year,Month,Day,Weekday,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-07-16,2015,7,16,Thursday,26.8799991607666,26.450000762939453,26.690000534057617,299000,26.690000534057617,0.009837314637901162,27.273571695600236,27.863400077819826
2015-07-17,2015,7,17,Friday,26.959999084472656,26.049999237060547,26.290000915527344,617000,26.290000915527344,-0.01498687188184411,27.04142883845738,27.898400077819826
2015-07-20,2015,7,20,Monday,26.690000534057617,25.70199966430664,26.600000381469727,649100,26.600000381469727,0.011791534999882503,26.928571701049805,27.934200096130372
2015-07-21,2015,7,21,Tuesday,26.889999389648438,26.229999542236328,26.649999618530273,236900,26.649999618530273,0.0018796705392296609,26.818571635654994,27.969600105285643
2015-07-22,2015,7,22,Wednesday,27.020000457763672,26.450000762939453,26.979999542236328,337700,26.979999542236328,0.012382736526442617,26.72500010899135,27.995600090026855
2015-07-23,2015,7,23,Thursday,27.200000762939453,26.600000381469727,26.90999984741211,326000,26.90999984741211,-0.0025945031879869296,26.708571570260183,27.998400077819824
2015-07-24,2015,7,24,Friday,27.1299991607666,26.420000076293945,26.540000915527344,278700,26.540000915527344,-0.01374949587449914,26.656428745814733,27.99920009613037
2015-07-27,2015,7,27,Monday,26.399999618530273,25.729999542236328,26.040000915527344,300300,26.040000915527344,-0.018839486916048753,26.60000024523054,27.99540012359619
2015-07-28,2015,7,28,Tuesday,27.31999969482422,26.200000762939453,27.1200008392334,929600,27.1200008392334,0.041474649989818646,26.674286024911062,28.007600135803223
2015-07-29,2015,7,29,Wednesday,27.5,26.530000686645508,27.309999465942383,488300,27.309999465942383,0.007005848850643037,26.72428594316755,28.029200134277342
2015-07-30,2015,7,30,Thursday,27.75,26.729999542236328,27.649999618530273,262800,27.649999618530273,0.012449657972783745,26.77214309147426,28.063400115966797
2015-07-31,2015,7,31,Friday,29.0,27.520000457763672,28.440000534057617,792600,28.440000534057617,0.028571462076907528,26.900000299726212,28.104600143432616
2015-08-03,2015,8,3,Monday,28.68000030517578,27.540000915527344,28.389999389648438,501200,28.389999389648438,-0.0017581274075330056,27.00285734449114,28.16040012359619
