Date,Year,Month,Day,Weekday,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-07-23,2014,7,23,Wednesday,32.48,33.83,32.26,33.52,424000,33.52,0.03392974555661876,32.61142857142858,33.7384
2014-07-24,2014,7,24,Thursday,36.45,37.33,34.2,34.96,982800,34.96,0.042959385651662796,32.672857142857154,33.8168
2014-07-25,2014,7,25,Friday,36.6,36.93,34.61,35.23,548900,35.23,0.007723125424325072,32.85357142857144,33.89940000000001
2014-07-28,2014,7,28,Monday,35.16,38.9,35.03,38.02,817400,38.02,0.0791938958779288,33.320714285714295,34.0208
2014-07-29,2014,7,29,Tuesday,38.5,41.0,37.01,37.59,721700,37.59,-0.011309844818478298,33.72928571428572,34.13120000000001
2014-07-30,2014,7,30,Wednesday,37.7,38.28,36.31,36.52,256000,36.52,-0.028465009057749513,34.06000000000001,34.2374
2014-07-31,2014,7,31,Thursday,35.98,36.91,35.9,36.29,273100,36.29,-0.006297906334977399,34.30500000000001,34.3632
2014-08-01,2014,8,1,Friday,36.35,36.97,35.26,35.76,460700,35.76,-0.014604645374020064,34.46428571428572,34.4576
2014-08-04,2014,8,4,Monday,35.76,36.94,35.48,36.26,139900,36.26,0.013982103564555315,34.737142857142864,34.5646
2014-08-05,2014,8,5,Tuesday,35.98,36.67,35.7,35.83,202600,35.83,-0.011858701334334087,34.94214285714286,34.6452
2014-08-06,2014,8,6,Wednesday,35.56,37.15,35.42,36.92,144200,36.92,0.030421330789492274,35.30214285714287,34.7308
2014-08-07,2014,8,7,Thursday,36.91,37.12,35.72,35.83,143300,35.83,-0.02952319588161456,35.56642857142858,34.7788
2014-08-08,2014,8,8,Friday,35.67,36.96,35.29,36.4,334300,36.4,0.015908447270303716,35.82500000000001,34.833
2014-08-11,2014,8,11,Monday,36.35,38.81,36.21,38.79,464200,38.79,0.06565932113901818,36.28000000000001,34.9272
2014-08-12,2014,8,12,Tuesday,38.55,40.0,38.5,39.36,493700,39.36,0.014694500679840239,36.697142857142865,35.026599999999995
