Date,Year,Month,Day,Weekday,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-08-25,2014,8,25,Monday,176.71,179.86,176.46,177.87,3063500.0,166.67,0.013677435257231974,162.23285714285709,160.04740000000004
2014-08-26,2014,8,26,Tuesday,178.47,179.15,177.81,177.9,3110600.0,166.7,0.000168638201661242,162.77928571428563,160.27320000000006
2014-08-27,2014,8,27,Wednesday,178.36,178.36,177.01,177.81,2073700.0,167.13,0.002593771104826059,163.39928571428567,160.46320000000006
2014-08-28,2014,8,28,Thursday,177.05,177.75,175.89,177.65,1961800.0,166.98,-0.000899664657166066,163.7971428571428,160.61960000000005
2014-08-29,2014,8,29,Friday,178.32,179.5,177.85,179.11,2560600.0,168.35,0.008218408723803972,164.27928571428566,160.80580000000003
2014-09-02,2014,9,2,Tuesday,179.26,180.22,178.38,179.77,1986300.0,168.97,0.003684928130940346,164.81428571428566,161.00240000000002
2014-09-03,2014,9,3,Wednesday,180.48,182.07,179.43,179.6,2397700.0,168.81,-0.0009459343650685126,165.3357142857142,161.18820000000002
2014-09-04,2014,9,4,Thursday,179.93,181.6,179.55,180.08,1678500.0,169.26,0.0026726367123097727,165.86499999999995,161.42060000000004
2014-09-05,2014,9,5,Friday,179.58,179.91,177.88,179.75,2562800.0,168.95,-0.001832540025962781,166.42785714285705,161.64400000000003
2014-09-08,2014,9,8,Monday,179.58,180.92,179.22,180.11,1746400.0,169.29,0.0020028951077952772,166.83714285714277,161.88120000000004
2014-09-09,2014,9,9,Tuesday,177.93,178.64,176.62,177.4,2598500.0,166.74,-0.015046442658979142,167.10428571428565,162.09040000000002
2014-09-10,2014,9,10,Wednesday,178.33,180.18,178.12,179.87,2457800.0,169.07,0.013923314610905901,167.53285714285707,162.33380000000005
2014-09-11,2014,9,11,Thursday,178.77,181.44,178.5,181.0,1905300.0,170.13,0.006282568089283513,167.96214285714282,162.61020000000002
2014-09-12,2014,9,12,Friday,180.63,183.47,180.63,183.17,3358600.0,172.17,0.011988816692159565,168.51571428571424,162.92600000000002
2014-09-15,2014,9,15,Monday,182.91,184.4,182.51,183.98,2308000.0,172.93,0.004422083456710579,168.96285714285708,163.2088
